surface,count,split_as,phrase_count,example,verdict,note
iathuh,10868,ia thuh,123,,,
iing,7510,i ing,2,,,
thain,6217,tha in,0,,,
iaid,6186,ia id,0,,,
sangma,4969,sang ma,5,,,
assam,4962,as sam,0,,,
wanrah,4604,wan rah,550,,,
eiei,4276,ei ei,1310,,,
iakren,3775,ia kren,2713,,,
iaka,3412,ia ka,85846,,,
iadei,3248,ia dei,1004,,,
jingthmu,2943,jing thmu,72,,,
jongu,2827,jong u,15247,,,
nongpoh,2751,nong poh,10,,,
ialam,2685,ia lam,21,,,
jongki,2642,jong ki,17312,,,
jaitbynriew,2504,jait bynriew,286,,,
jongka,2484,jong ka,40206,,,
treikam,2408,trei kam,895,,,
iakhun,2167,ia khun,1110,,,
kila,2118,ki la,29743,,,
ialade,2076,ia lade,334,,,
iarap,2053,ia rap,5,,,
iaki,1829,ia ki,44621,,,
iakynduh,1824,ia kynduh,2238,,,
haka,1802,ha ka,56392,,,
ialeh,1733,ia leh,193,,,
nongstoi,1623,nong stoi,10,,,
ialehkai,1607,ia lehkai,30,,,
longkmie,1582,long kmie,102,,,
iada,1575,i ada,0,,,
mawlai,1557,maw lai,3,,,
minit,1514,mi nit,0,,,
naiwieng,1509,nai wieng,5,,,
ailad,1330,ai lad,233,,,
pyniap,1314,pyni ap,0,,,
naka,1310,na ka,33418,,,
ophisar,1295,ophis ar,0,,,
nailur,1291,nai lur,0,,,
pyntrei,1254,pyn trei,33,,,
kadei,1239,ka dei,16419,,,
unit,1221,u nit,0,,,
sain,1215,sa in,0,,,
jaidbynriew,1160,jaid bynriew,217,,,
namarba,1144,namar ba,7618,"U Conrad u ba la synran ia la ka kmie bad ka para ban leit thep vote , um shym la ioh ban thep vote ialade namarba u don vote ha Salsella konstitwensi",,
paralok,1136,para lok,8,,,
nailar,1131,nai lar,2,,,
iaiong,1082,ia iong,0,,,
rupang,1072,ru pang,0,,,
tura,1059,tu ra,0,,,
nongthohkhubor,1035,nongthoh khubor,1180,,,
marak,1030,ma rak,0,,,
modi,1022,mo di,0,,,
naitung,1007,nai tung,3,,,
iano,980,ia no,12,,,
pynliem,977,pyn liem,0,,,
ladep,969,la dep,4562,,,
watla,951,wa tla,0,,,
bording,950,bor ding,230,,,
shimkhia,949,shim khia,804,,,
nongkitkam,944,nongkit kam,74,,,
pynthikna,940,pyn thikna,32,,,
bala,938,ba la,16706,,,
nongrum,933,nong rum,3,,,
donkti,931,don kti,234,,,
arngut,924,ar ngut,1318,,,
khaii,912,khai i,0,,,
shimti,904,shim ti,3,,,
jingpyrshah,834,jing pyrshah,132,,,
riewlum,833,riew lum,18,,,
donkupar,807,don kupar,6,,,
member,804,mem ber,0,,,
pynursla,783,pynur sla,0,,,
tangba,767,tang ba,267,Bun bah ki jingkylli ki mih naka bynta ka kam Lamphang. Tangba la katta ruh ym don kawei ka jubab ka ban pynjan ia u Paid bah. Skhem Lyngdoh skhemlyngdih@gmail.,,
iashim,767,ia shim,563,,,
khristan,751,khrist an,0,,,
phone,734,pho ne,0,,,
umsning,726,um sning,2,,,
lapang,724,la pang,9,,,
symbud,683,sym bud,0,,,
thombor,682,thom bor,17,,,
napdeng,670,na pdeng,46,,,
kotkhubor,669,kot khubor,365,,,
kilo,668,ki lo,0,,,
khlain,663,khla in,0,,,
puthi,642,put hi,0,,,
jingrakhe,626,jing rakhe,41,,,
jingiap,614,jingi ap,0,,,
shipor,610,shi por,21,,,
iahap,606,ia hap,71,,,
muda,599,mu da,6,,,
jongngi,599,jong ngi,2962,,,
wahlang,597,wah lang,2,,,
khliehriat,590,khlieh riat,5,,,
warjri,588,war jri,0,,,
rangbahduh,582,rangbah duh,292,,,
iewduh,578,iew duh,6,,,
mairang,574,mai rang,2,,,
kumar,570,ku mar,0,,,
rida,549,ri da,46,,,
nehu,536,ne hu,0,,,
jain,530,ja in,0,,,
mawphlang,522,maw phlang,11,,,
sanbor,520,san bor,0,,,
iakhih,512,ia khih,262,,,
mawkyrwat,510,maw kyrwat,14,,,
donlang,504,don lang,804,,,
kidei,502,ki dei,6532,,,
sabha,502,sa bha,0,,,
manla,498,man la,503,,,
jingpule,496,jing pule,30,,,
road,494,ro ad,0,,,
metiap,492,me tiap,0,,,
kharkongor,491,khar kongor,15,,,
jongphi,490,jong phi,633,,split,"ruled by the project's Khasi speaker: the spaced form is correct (ratio 1.29, under the default)"
ialap,486,ia lap,12,,,
jngohkai,484,jngoh kai,147,,,
kaiphod,481,kai phod,2,,,
jirang,480,ji rang,0,,,
dawki,478,daw ki,113,,,
hindu,476,hin du,0,,,
umroi,473,um roi,0,,,
dorkhas,473,dor khas,0,,,
laitluid,472,lait luid,10,,,
ranikor,467,rani kor,0,,,
pala,463,pa la,5,,,
nongsiej,462,nong siej,2,,,
jemino,459,jem ino,0,,,
rahbor,452,rah bor,37,,,
mawhati,450,maw hati,2,,,
haki,450,ha ki,12940,,,
sohiong,448,soh iong,2,,,
amit,448,am it,0,,,
kapor,446,ka por,13107,,,
muslim,441,mu slim,0,,,
shangpliang,440,shang pliang,4,,,
longing,440,lo nging,0,,,
jingkitkhlieh,438,jing kitkhlieh,25,,,
jingsngewkhia,429,jingsngew khia,109,,,
jingshakri,425,jing shakri,13,,,
synod,421,syn od,0,,,
malki,420,ma lki,0,,,
jingpynshai,415,jing pynshai,39,,,
iadon,415,ia don,374,,,
itynnad,415,i tynnad,5,,,
dewbilat,410,dew bilat,14,,,
pynshisha,406,pyn shisha,6,,,
byrnihat,405,byrni hat,8,,,
buddien,402,bud dien,89,,,
jingia,398,jing ia,1492,,,
pynkhein,396,pyn khein,3,,,
bindo,396,bin do,0,,,
bhalang,393,bha lang,3,,,
dalade,393,da lade,155,,,
hasem,392,ha sem,213,,,
mihkhmat,388,mih khmat,135,,,
katdei,384,kat dei,10,,,
lanosha,384,lano sha,0,,,
tehlakam,381,teh lakam,211,,,
marngar,378,mar ngar,0,,,
shaei,375,sha ei,6,,,
haiing,371,hai ing,0,,,
women,368,wo men,0,,,
rambrai,367,ram brai,4,,,
jingkhynra,367,jing khynra,41,,,
jyrwa,365,jy rwa,0,,,
iasoh,354,ia soh,155,,,
thomas,353,thom as,0,,,
mukhim,352,mu khim,0,,,
iaroh,351,ia roh,2,,,
stadium,351,stad ium,0,,,
liengsuin,347,lieng suin,9,,,
lain,344,la in,0,,,
sabbha,341,sab bha,0,,,
iapher,339,ia pher,61,,,
home,338,ho me,0,,,
ribhoi,338,ri bhoi,2411,,,
sepngi,337,sep ngi,4,,,
jongnga,333,jong nga,1199,,,
inner,331,in ner,0,,,
treilang,329,trei lang,138,,,
nongthep,328,nong thep,9,,,
thangkhiew,326,thang khiew,4,,,
sengkmie,326,seng kmie,180,,,
jingiada,324,jingi ada,0,,,
jingtreikam,321,jingtrei kam,123,,,
building,318,bui lding,0,,,
lamare,318,lam are,0,,,
pynshlur,315,pyn shlur,2,,,
sawkmie,315,saw kmie,2,,,
heprit,314,hep rit,66,,,
kurbah,307,kur bah,5,,,
sumer,303,su mer,0,,,
tirot,303,ti rot,0,,,
thungkam,303,thung kam,132,,,
thabah,303,tha bah,0,,,
rule,300,ru le,0,,,
liangpyrshah,299,liang pyrshah,484,,,
jingpynkhreh,298,jing pynkhreh,57,,,
metbah,297,met bah,0,,,
sngewkhia,296,sngew khia,94,,,
iatai,292,ia tai,88,,,
jingkhlad,290,jing khlad,13,,,
nohsngi,289,noh sngi,12,,,
training,287,trai ning,0,,,
langpih,285,lang pih,0,,,
team,284,te am,0,,,
shabong,284,sha bong,0,,,
ishu,283,i shu,13,,,
mashin,282,ma shin,0,,,
nongbri,280,nong bri,0,,,
naki,280,na ki,8587,,,
ehrang,279,eh rang,4,,,
iaphi,279,ia phi,468,,,
iashong,277,ia shong,293,,,
pangniang,276,pang niang,3,,,
nepali,276,ne pali,0,,,
kalong,275,ka long,13908,,,
poiwir,275,poi wir,31,,,
sutnga,274,su tnga,0,,,
sngewtynnad,274,sngew tynnad,155,,,
ialang,274,ia lang,22,,,
lehniam,274,leh niam,42,,,
jingpyntrei,273,jingpyn trei,0,,,
khei,271,kh ei,0,,,
risain,269,risa in,0,,,
momin,269,mom in,0,,,
shadap,269,sha dap,0,,,
pynthut,267,pyn thut,0,,,
lanong,266,la nong,0,,,
jinglap,262,jing lap,9,,,
khanapara,261,khana para,3,,,
hoping,260,ho ping,0,,,
dohling,258,doh ling,0,,,
nongspung,258,nong spung,3,,,
pawnam,255,paw nam,47,,,
water,254,wa ter,0,,,
artad,251,ar tad,3,,,
nangbah,250,nang bah,2,,,
pynthymmai,250,pyn thymmai,11,,,
mawsor,249,maw sor,2,,,
sahteng,248,sah teng,61,,,
kiban,248,ki ban,1987,,,
jingieit,248,jing ieit,0,,,
lyngkhoi,247,lyng khoi,2,,,
phawa,247,pha wa,0,,,
mumbai,247,mum bai,0,,,
meter,245,me ter,0,,,
iala,244,ia la,1887,,,
nonglait,244,nong lait,2,,,
langsning,241,lang sning,0,,,
pynjop,240,pyn jop,0,,,
jingdonlang,239,jingdon lang,77,,,
basah,236,ba sah,499,,,
nartiang,235,na rtiang,2,,,
nohphai,234,noh phai,42,,,
kiang,232,ki ang,6,,,
rilum,227,ri lum,587,,,
pohing,227,poh ing,28,,,
paidlang,227,paid lang,2,,,
lakh,224,la kh,2,,,
pyntriem,222,pyn triem,0,,,
waheh,222,wa heh,0,,,
lahkmen,222,lah kmen,0,,,
jongno,221,jong no,36,Nga kloi ban ktah nakjat jongno jongno ruh na bynta ka jingmyntoi u paidbah,,
saitjai,221,sait jai,8,,,
pyntikna,221,pyn tikna,4,,,
pynjlan,220,pyn jlan,0,,,
jingplie,218,jing plie,9,,,
order,218,or der,0,,,
lambor,218,lam bor,0,,,
pyntbit,217,pyn tbit,0,,,
jingpynslem,215,jing pynslem,26,,,
nala,215,na la,270,,,
marbam,214,mar bam,50,,,
iewtrep,213,iew trep,27,,,
shongsuk,213,shong suk,112,,,
taksi,213,ta ksi,0,,,
mawpat,212,maw pat,3,,,
online,212,on line,18,,,
jingdheng,212,jing dheng,16,,,
jingkynthoh,211,jing kynthoh,14,,,
lamin,211,lam in,0,,,
wanphai,209,wan phai,530,,,
bunkam,208,bun kam,52,,,
sienjam,207,sien jam,69,,,
kharlukhi,206,khar lukhi,3,,,
marten,206,ma rten,0,,,
suting,206,su ting,0,,,
narpuh,204,nar puh,0,,,
mawiong,204,maw iong,2,,,
jingthep,201,jing thep,6,,,
iang,200,i ang,0,,,
riwar,199,ri war,17,,,
kitbok,199,kit bok,13,,,
lumpung,198,lum pung,0,,,
roshan,196,ro shan,0,,,
daplin,196,da plin,0,,,
sohtun,195,soh tun,0,,,
kharbani,194,khar bani,0,,,
shaka,192,sha ka,10334,,,
purno,191,pur no,0,,,
iangi,190,ia ngi,1042,,,
bharat,190,bha rat,0,,,
shymla,189,shym la,4414,,,
kharpuri,188,khar puri,3,,,
skulbah,187,skul bah,78,,,
eriong,186,er iong,3,,,
nongrem,184,nong rem,3,,,
tariang,184,ta riang,0,,,
udei,184,u dei,3824,,,
majaw,183,ma jaw,0,,,
bihar,181,bih ar,0,,,
mining,180,mi ning,0,,,
nangkiew,180,nang kiew,119,,,
jinglehniam,179,jingleh niam,73,,,
urban,178,ur ban,0,,,
jinglaitluid,178,jinglait luid,11,,,
mawnongrim,178,maw nongrim,82,,,
langrin,176,lang rin,0,,,
adei,176,ad ei,0,,,
kharsyntiew,174,khar syntiew,2,,,
peter,174,pet er,0,,,
witting,174,wit ting,0,,,
lukha,174,luk ha,0,,,
iajan,174,ia jan,48,,,
ianga,174,ia nga,857,,,
jingem,174,ji ngem,0,,,
khristmas,174,khrist mas,0,,,
jala,174,ja la,3,,,
hamlet,173,ham let,0,,,
hindi,173,hin di,0,,,
shispah,172,shi spah,34,,,
jingmang,172,jing mang,4,,,
litar,172,li tar,0,,,
pynmynsaw,168,pyn mynsaw,34,,,
sharma,168,shar ma,0,,,
nongjri,167,nong jri,0,,,
laitkor,167,lai tkor,0,,,
emri,167,em ri,0,,,
suja,167,su ja,0,,,
paiem,166,pai em,0,,,
mawprem,166,maw prem,0,,,
under,165,un der,0,,,
maieid,165,ma ieid,44,,,
jingjngai,164,jing jngai,13,,,
semi,163,sem i,4,,,
iohlum,162,ioh lum,451,,,
shongshit,162,shong shit,22,,,
thongni,162,thong ni,0,,,
thanad,161,than ad,0,,,
baka,161,ba ka,29880,,,
kohli,161,ko hli,0,,,
sirdar,160,sir dar,0,,,
tender,160,ten der,0,,,
pariong,158,par iong,0,,,
lumshnong,158,lum shnong,12,,,
junior,158,jun ior,0,,,
malik,157,ma lik,0,,,
mutdur,157,mut dur,34,,,
sikkim,157,sik kim,0,,,
lower,157,lo wer,0,,,
khongsit,156,khong sit,2,,,
khyndailad,156,khyndai lad,95,,,
jingwanrah,155,jingwan rah,16,,,
rashon,155,ra shon,0,,,
balai,154,ba lai,174,,,
sylliang,154,sylli ang,0,,,
beijot,154,be ijot,0,,,
ingsah,153,ing sah,47,,,
uttar,152,ut tar,0,,,
ialong,151,i along,0,,,
jingpynrung,150,jing pynrung,28,,,
riewpaidbah,150,riew paidbah,421,,,
jingdkoh,149,jing dkoh,3,,,
sale,149,sa le,0,,,
arap,149,ar ap,0,,,
nongshongshnong,148,nongshong shnong,2172,,,
jingjur,148,jing jur,10,,,
pynpait,148,pyn pait,2,,,
tuber,148,tu ber,0,,,
jingduhnong,147,jingduh nong,76,,,
iakane,147,ia kane,10691,,,"check: ia- may be the reciprocal prefix, not the preposition"
shangpung,147,shang pung,6,,,
mawroh,146,maw roh,0,,,
jingpluh,146,jing pluh,2,,,
sumo,146,su mo,0,,,
umling,145,um ling,0,,,
planning,145,plan ning,0,,,
pariat,144,pa riat,0,,,
aplai,143,ap lai,0,,,
iasaid,143,ia said,65,,,
